Free space: 471388/2097152 (22.48%)

bank	end	free
$00	$3ff7	$0009
$01	$8000	$0000
$02	$7fff	$0001
$03	$7ff6	$000a
$04	$7ff9	$0007
$05	$8000	$0000
$06	$7ff9	$0007
$07	$7fff	$0001
$08	$7ffd	$0003
$09	$7fff	$0001
$0a	$8000	$0000
$0b	$8000	$0000
$0c	$7ff6	$000a
$0d	$8000	$0000
$0e	$8000	$0000
$0f	$8000	$0000
$10	$7fff	$0001
$11	$8000	$0000
$12	$7ffa	$0006
$13	$7ff6	$000a
$14	$7fff	$0001
$15	$7ffc	$0004
$16	$7ffd	$0003
$17	$7fed	$0013
$18	$8000	$0000
$19	$7ffe	$0002
$1a	$7ff3	$000d
$1b	$8000	$0000
$1c	$8000	$0000
$1d	$7fff	$0001
$1e	$7ffe	$0002
$1f	$8000	$0000
$20	$7fff	$0001
$21	$7fee	$0012
$22	$7ffe	$0002
$23	$8000	$0000
$24	$7ffa	$0006
$25	$7ffe	$0002
$26	$7fff	$0001
$27	$7ffe	$0002
$28	$8000	$0000
$29	$8000	$0000
$2a	$7fed	$0013
$2b	$7ffd	$0003
$2c	$7ffe	$0002
$2d	$7ff2	$000e
$2e	$7fff	$0001
$2f	$7ff9	$0007
$30	$7ff0	$0010
$31	$7ffe	$0002
$32	$7ff8	$0008
$33	$7fff	$0001
$34	$8000	$0000
$35	$8000	$0000
$36	$7fed	$0013
$37	$7ffd	$0003
$38	$7ffd	$0003
$39	$7ff1	$000f
$3a	$7ffe	$0002
$3b	$7ffb	$0005
$3c	$7ff9	$0007
$3d	$7ffb	$0005
$3e	$8000	$0000
$3f	$7fee	$0012
$40	$7ff9	$0007
$41	$7fc8	$0038
$42	$7ffc	$0004
$43	$7ffb	$0005
$44	$7fcf	$0031
$45	$7ffe	$0002
$46	$7ff9	$0007
$47	$7ff4	$000c
$48	$7fbe	$0042
$49	$7fef	$0011
$4a	$7fcc	$0034
$4b	$8000	$0000
$4c	$7fed	$0013
$4d	$7feb	$0015
$4e	$7cb5	$034b
$4f	$7fdd	$0023
$50	$7fde	$0022
$51	$7ff6	$000a
$52	$7f77	$0089
$53	$7ffb	$0005
$54	$7ff4	$000c
$55	$7fc1	$003f
$56	$7fa6	$005a
$57	$7e83	$017d
$58	$7c8a	$0376
$59	$7d30	$02d0
$5a	$7fe2	$001e
$5b	$7f64	$009c
$5c	$7e6e	$0192
$5d	$7f8a	$0076
$5e	$7c63	$039d
$5f	$7e66	$019a
$60	$7fb2	$004e
$61	$7fe1	$001f
$62	$7df5	$020b
$63	$6807	$17f9
$64	$4000	$4000
$65	$4000	$4000
$66	$4000	$4000
$67	$4000	$4000
$68	$4000	$4000
$69	$4000	$4000
$6a	$4000	$4000
$6b	$4000	$4000
$6c	$4000	$4000
$6d	$4000	$4000
$6e	$4000	$4000
$6f	$4000	$4000
$70	$4000	$4000
$71	$4000	$4000
$72	$4000	$4000
$73	$4000	$4000
$74	$4000	$4000
$75	$4000	$4000
$76	$4000	$4000
$77	$4000	$4000
$78	$4000	$4000
$79	$4000	$4000
$7a	$4000	$4000
$7b	$4000	$4000
$7c	$4000	$4000
$7d	$4000	$4000
$7e	$4000	$4000
$7f	$4000	$4000
